Input Signal, Output Signal, Freq Scale, Mag Spec Input, Phase Spec Input, Impulse Resp, Freq Resp Mag, Freq Resp Phase, Mag Spec Out, Mag Phase Out
-0.203369,0.000000,1763.118441,13.127496,0.463971,-0.000000,-0.017404,-1.197587,-19.542706,-1.256385,
-0.243378,0.000016,1774.137931,-6.421373,-1.124408,-0.000000,-0.019450,-1.205143,-15.676421,-0.690843,
-0.268768,-0.001319,1785.157421,6.566728,-0.087687,-0.000000,-0.021497,-1.212699,-15.211587,1.130565,
-0.281830,-0.060537,1796.176912,3.857516,-1.038634,-0.000000,-0.023549,-1.220257,4.439469,-0.974507,
-0.282074,0.000000,1807.196402,10.600547,-0.921016,0.000000,-0.025601,-1.227816,-10.288525,-0.094625,
-0.255524,-0.000006,1818.215892,15.722287,-1.181155,0.000000,-0.027660,-1.235375,-8.582910,1.554511,
-0.200531,0.000033,1829.235382,18.022120,0.957534,0.000000,-0.029719,-1.242936,-7.247064,0.966500,
-0.133301,0.014045,1840.254873,17.337276,0.663128,-0.000000,-0.031781,-1.250498,-8.065401,0.741574,
-0.060699,0.000000,1851.274363,17.094280,0.126753,-0.000000,-0.033841,-1.258061,-8.186069,0.278679,
0.020020,-0.000003,1862.293853,21.384802,-0.401927,-0.000000,-0.035901,-1.265626,-9.104431,-0.073293,
0.105865,0.000022,1873.313343,20.317432,-1.088799,-0.000000,-0.037970,-1.273191,-12.788311,-0.304641,
0.191467,-0.000046,1884.332834,18.368271,1.521730,0.000000,-0.040031,-1.280758,-14.042379,-0.568030,
0.274292,0.000000,1895.352324,14.639892,-1.171381,0.000000,-0.042095,-1.288326,-15.846496,-0.632911,
0.342651,0.000000,1906.371814,18.116224,-1.489807,0.000000,-0.044157,-1.295895,-23.836941,-0.667863,
0.372894,0.000000,1917.391304,20.871450,-1.419177,-0.000000,-0.046219,-1.303465,-28.425026,0.758596,
0.348236,0.000234,1928.410795,24.644758,1.239605,-0.000000,-0.048281,-1.311037,-18.930920,0.619705,
0.267639,-0.000135,1939.430285,18.165764,0.712016,-0.000000,-0.050336,-1.318610,-16.639418,0.626280,
0.133179,0.000000,1950.449775,19.915997,0.931709,0.000000,-0.052394,-1.326184,-15.916606,0.110979,
-0.039307,0.000007,1961.469265,20.042454,0.656027,0.000000,-0.054451,-1.333760,-13.300205,0.014675,
-0.202667,-0.000629,1972.488756,16.769594,0.376084,0.000000,-0.056498,-1.341336,-16.443657,-0.128672,
-0.308899,0.039265,1983.508246,17.199295,0.356350,0.000000,-0.058547,-1.348915,-16.377874,-0.718725,
-0.346283,0.000000,1994.527736,14.542336,0.819534,-0.000000,-0.060592,-1.356494,-19.951750,-0.595777,
-0.328217,0.000002,2005.547226,18.454641,1.039437,-0.000000,-0.062633,-1.364075,-22.241564,-0.323950,
-0.265961,-0.000209,2016.566717,17.916656,1.112565,-0.000000,-0.064668,-1.371658,-32.779316,0.000000,
-0.177673,0.003741,2027.586207,12.405860,1.349324,0.000000,-0.066702,-1.379242,-20.442078,1.468275,
-0.091675,0.000000,2038.605697,20.551086,-1.052698,0.000000,-0.068726,-1.386827,-9.052382,0.787139,
-0.025513,0.000000,2049.625187,26.046715,1.247809,0.000000,-0.070744,-1.394414,-9.598853,0.473637,
0.023163,-0.000009,2060.644678,26.166842,0.923165,0.000000,-0.072760,-1.402003,-6.468936,0.111765,
0.065979,0.000091,2071.664168,27.278990,0.911528,-0.000000,-0.074769,-1.409593,-12.212222,-0.966957,
0.102997,-0.000000,2082.683658,30.502552,1.208224,-0.000000,-0.076768,-1.417184,4.262983,0.434754,
0.123413,-0.000000,2093.703148,40.688400,1.140844,-0.000000,-0.078762,-1.424778,-7.101802,1.214288,
0.124146,-0.000002,2104.722639,53.203091,-0.466625,0.000000,-0.080744,-1.432373,-8.139947,-1.237994,
0.109741,0.000657,2115.742129,39.090302,-0.540001,0.000000,-0.082727,-1.439969,-10.199749,1.539834,
0.082062,-0.062864,2126.761619,29.424574,-0.730786,0.000000,-0.084695,-1.447568,-16.324516,1.423847,
0.051727,-0.000000,2137.781109,33.122478,-0.905752,0.000000,-0.086654,-1.455168,-12.128633,-1.196244,
0.039154,0.000006,2148.800600,30.953438,-1.367798,-0.000000,-0.088602,-1.462770,-14.355594,-1.278984,
0.050079,-0.000135,2159.820090,28.030449,-1.328503,-0.000000,-0.090544,-1.470374,-16.593800,-1.315888,
0.066498,-0.012640,2170.839580,26.864435,-1.392156,-0.000000,-0.092474,-1.477979,-9.575803,-0.923991,
0.072205,-0.000000,2181.859070,27.581089,1.451588,0.000000,-0.094391,-1.485587,-10.480001,-0.994999,
0.065826,0.000003,2192.878561,25.263887,1.339795,0.000000,-0.096301,-1.493197,-7.669872,-1.483059,
0.050659,-0.000075,2203.898051,24.436108,1.255742,0.000000,-0.098197,-1.500808,-5.109206,1.260700,
0.026215,0.000565,2214.917541,24.176109,0.935281,-0.000000,-0.100078,-1.508422,0.145817,-0.280844,
-0.002136,0.000000,2225.937031,18.499489,0.434743,-0.000000,-0.101948,-1.516037,-10.765566,0.707253,
-0.021118,-0.000000,2236.956522,7.531578,-0.320489,-0.000000,-0.103804,-1.523655,-11.888682,0.907460,
-0.028839,0.000007,2247.976012,20.207529,-1.092524,-0.000000,-0.105651,-1.531275,-18.993835,1.540408,
-0.030670,0.000145,2258.995502,20.794897,-1.316926,0.000000,-0.107483,-1.538897,-20.262707,1.302424,
-0.022156,-0.010156,2270.014993,21.038395,1.168552,0.000000,-0.109295,-1.546521,-17.772959,-1.189667,
-0.002502,-0.000000,2281.034483,18.072176,0.901578,0.000000,-0.111098,-1.554148,-14.275811,-1.145187,
0.017334,-0.000002,2292.053973,21.013105,1.167079,-0.000000,-0.112879,-1.561777,-11.090044,-1.096953,
0.039795,0.000391,2303.073463,19.571136,0.939812,-0.000000,-0.114650,-1.569409,-7.824450,1.535565,
0.080597,-0.031069,2314.092954,15.719888,0.838333,-0.000000,-0.116399,1.564550,-5.601447,1.299333,
0.141205,-0.000000,2325.112444,14.732703,0.816045,-0.000000,-0.118138,1.556914,-6.111736,0.934325,
0.212036,-0.000002,2336.131934,13.849270,0.550141,0.000000,-0.119851,1.549275,-5.452680,0.518922,
0.293335,0.000232,2347.151424,13.342071,-0.821247,0.000000,-0.121556,1.541634,-15.333358,0.052748,
0.378571,-0.006582,2358.170915,13.726821,0.893953,0.000000,-0.123236,1.533990,3.514209,0.835269,
0.439453,-0.000000,2369.190405,19.955067,0.174274,-0.000000,-0.124898,1.526343,-5.315679,1.248362,
0.438995,0.000000,2380.209895,19.710670,-0.595974,-0.000000,-0.126543,1.518693,-10.378227,-1.005217,
0.362762,-0.000025,2391.229385,21.370392,-1.234409,-0.000000,-0.128170,1.511041,-15.787106,-1.016740,
0.223328,0.000256,2402.248876,19.301657,1.563579,-0.000000,-0.129776,1.503386,-19.819952,-1.242238,
